exit_time,exit_price,candles,entry_price,result,signal_id,strategy_name,timeframe,entry_time,action,status
,,[],,,1718236717475,SMA Crossover,120,1718236897.4751966,buy,waiting
,,[],,,1718236787411,RSI Overbought,60,1718236967.4112017,sell,waiting
,,[],,,1718236852869,RSI Overbought,60,1718237032.8691728,sell,waiting
,,[],,,1718237362469,SMA Crossover,120,1718237542.469819,buy,waiting
,,[],,,1718237657495,SMA Crossover,120,1718237837.4955294,buy,waiting
,,[],,,1718238067427,SMA Crossover,120,1718238247.4269965,buy,waiting
,,[],,,1718238098405,RSI Overbought,60,1718238278.4054227,sell,waiting
,,[],,,1718238162421,RSI Overbought,60,1718238342.421311,sell,waiting
,,[],,,1718238227438,RSI Overbought,60,1718238407.438402,sell,waiting
,,[],,,1718238607417,SMA Crossover,120,1718238787.4171638,buy,waiting
,,[],,,1718264029127,SMA Crossover,120,1718264209.1270897,buy,waiting
,,[],,,1718264312884,SMA Crossover,120,1718264492.8845773,buy,waiting
,,[],,,1718264607709,SMA Crossover,120,1718264787.7094715,buy,waiting
,,[],,,1718264672513,RSI Overbought,60,1718264852.5139244,sell,waiting
,,[],,,1718264852593,RSI Overbought,60,1718265032.5936432,sell,waiting
,,[],,,1718264919664,RSI Overbought,60,1718265099.6641107,sell,waiting
,,[],,,1718264997492,SMA Crossover,120,1718265177.4923148,buy,waiting
,,[],,,1718265242594,RSI Overbought,60,1718265422.5947502,sell,waiting
,,[],,,1718265307609,RSI Overbought,60,1718265487.6091948,sell,waiting
,,[],,,1718265392651,SMA Crossover,120,1718265572.6516433,buy,waiting
,,[],,,1718265552718,RSI Overbought,60,1718265732.718929,sell,waiting
,,[],,,1718265832718,SMA Crossover,120,1718266012.7185316,buy,waiting
,,[],,,1718265942547,RSI Overbought,60,1718266122.5476084,sell,waiting
,,[],,,1718266003825,RSI Overbought,60,1718266183.8250077,sell,waiting
,,[],,,1718266122543,RSI Overbought,60,1718266302.5435476,sell,waiting
,,[],,,1718266602600,SMA Crossover,120,1718266782.6005683,buy,waiting
,,[],,,1718266723122,RSI Overbought,60,1718266903.122587,sell,waiting
,,[],,,1718267733900,SMA Crossover,120,1718267913.900029,buy,waiting
,,[],,,1718268752433,SMA Crossover,120,1718268932.433781,buy,waiting
,,[],,,1718268817461,RSI Overbought,60,1718268997.461522,sell,waiting
,,[],,,1718268902513,RSI Overbought,60,1718269082.5136364,sell,waiting
,,[],,,1718269187436,SMA Crossover,120,1718269367.4360332,buy,waiting
,,[],,,1718269318067,SMA Crossover,120,1718269498.0673773,buy,waiting
,,[],,,1718269623766,SMA Crossover,120,1718269803.7665882,buy,waiting
,,[],,,1718269712612,RSI Overbought,60,1718269892.6126764,sell,waiting
,,[],,,1718269959341,RSI Overbought,60,1718270139.3411057,sell,waiting
,,[],,,1718270067818,SMA Crossover,120,1718270247.8180597,buy,waiting
,,[],,,1718270217413,SMA Crossover,120,1718270397.413184,buy,waiting
,,[],,,1718270622523,SMA Crossover,120,1718270802.5232801,buy,waiting
,,[],,,1718270902530,SMA Crossover,120,1718271082.5309932,buy,waiting
,,[],,,1718270967514,RSI Overbought,60,1718271147.5140529,sell,waiting
,,[],,,1718271213034,RSI Overbought,60,1718271393.0344448,sell,waiting
,,[],,,1718271278071,RSI Overbought,60,1718271458.0718322,sell,waiting
,,[],,,1718271673119,SMA Crossover,120,1718271853.1191223,buy,waiting
,,[],,,1718271782544,SMA Crossover,120,1718271962.5448236,buy,waiting
,,[],,,1718271959355,SMA Crossover,120,1718272139.3559568,buy,waiting
,,[],,,1718272252495,SMA Crossover,120,1718272432.4954615,buy,waiting
,,[],,,1718272314662,RSI Overbought,60,1718272494.6627543,sell,waiting
,,[],,,1718272377863,RSI Overbought,60,1718272557.8637166,sell,waiting
,,[],,,1718272622476,RSI Overbought,60,1718272802.4765947,sell,waiting
,,[],,,1718272683359,RSI Overbought,60,1718272863.359602,sell,waiting
,,[],,,1718272747888,RSI Overbought,60,1718272927.8881767,sell,waiting
,,[],,,1718272992612,RSI Overbought,60,1718273172.6123166,sell,waiting
,,[],,,1718273922548,SMA Crossover,120,1718274102.5484903,buy,waiting
,,[],,,1718274002505,RSI Overbought,60,1718274182.5058403,sell,waiting
,,[],,,1718274067628,RSI Overbought,60,1718274247.6284516,sell,waiting
,,[],,,1718274168195,RSI Overbought,60,1718274348.195928,sell,waiting
,,[],,,1718274472902,SMA Crossover,120,1718274652.9021852,buy,waiting
,,[],,,1718274602492,RSI Overbought,60,1718274782.4927943,sell,waiting
,,[],,,1718274752481,RSI Overbought,60,1718274932.4813256,sell,waiting
,,[],,,1718274872524,RSI Overbought,60,1718275052.5241194,sell,waiting
,,[],,,1718275002747,SMA Crossover,120,1718275182.7475986,buy,waiting
,,[],,,1718275767476,RSI Overbought,60,1718275947.4764132,sell,waiting
,,[],,,1718275832510,RSI Overbought,60,1718276012.510655,sell,waiting
,,[],,,1718280233409,RSI Overbought,60,1718280413.409871,sell,waiting
,,[],,,1718280612525,SMA Crossover,120,1718280792.5254679,buy,waiting
,,[],,,1718280697507,SMA Crossover,120,1718280877.5072725,buy,waiting
,,[],,,1718280857510,RSI Overbought,60,1718281037.5106235,sell,waiting
,,[],,,1718280982499,SMA Crossover,120,1718281162.4993849,buy,waiting
,,[],,,1718281277509,SMA Crossover,120,1718281457.5090847,buy,waiting
,,[],,,1718281342590,RSI Overbought,60,1718281522.5901814,sell,waiting
,,[],,,1718281602504,SMA Crossover,120,1718281782.5041199,buy,waiting
,,[],,,1718281907970,RSI Overbought,60,1718282087.9704225,sell,waiting
,,[],,,1718282082542,RSI Overbought,60,1718282262.5427139,sell,waiting
,,[],,,1718282182906,RSI Overbought,60,1718282362.9064965,sell,waiting
,,[],,,1718282558400,SMA Crossover,120,1718282738.4000976,buy,waiting
,,[],,,1718282712607,SMA Crossover,120,1718282892.6076162,buy,waiting
,,[],,,1718282867998,SMA Crossover,120,1718283047.998283,buy,waiting
